
--- Minimize function Ackley-10dim

TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=3.1e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.4e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   1.9 | ey=2.4e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.0 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.5 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   2.0 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   1.9 | ey=2.0e-02 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.6 | ey=3.2e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.6 | ey=6.9e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.3 | ey=6.7e-01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.2 | ey=5.0e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.2 | ey=2.2e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.2 | ey=4.4e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.2 | ey=4.2e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.2 | ey=5.4e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.3 | ey=6.5e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.3 | ey=3.8e+00 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   3.2 | ey=7.9e-03 | evals=1.0e+05 | p=2, q=10, r=  4
