
--- Minimize function Ackley-10dim

TTOpt        | t=  19.2 | ey=2.4e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.1 | ey=2.3e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.9 | ey=1.6e-14 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.5 | ey=2.5e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.5 | ey=2.3e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.9 | ey=1.2e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.2 | ey=2.3e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.4 | ey=1.6e-14 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  39.3 | ey=2.3e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.2 | ey=8.7e-14 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.1 | ey=2.4e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.5 | ey=2.3e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.2 | ey=1.6e-14 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.1 | ey=2.5e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  39.5 | ey=2.3e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.9 | ey=1.2e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.9 | ey=2.3e-12 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  38.9 | ey=1.6e-14 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 197.9 | ey=2.3e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 216.0 | ey=8.7e-14 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 210.1 | ey=2.4e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 220.0 | ey=2.3e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 209.8 | ey=1.6e-14 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 205.0 | ey=2.5e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 217.3 | ey=2.3e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 223.1 | ey=1.2e-12 | evals=5.0e+06 | p=2, q=25, r=  4
