
--- Minimize function Ackley-10dim

ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.1 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.3 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.2 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.2 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.3 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.1 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.2 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.0 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   9.0 | ey=2.0e+00 | evals=1.0e+05
ES-CMA       | t=   8.9 | ey=2.0e+00 | evals=1.0e+05
DE           | t=  38.5 | ey=2.7e-04 | evals=1.0e+05
DE           | t=  39.1 | ey=5.0e-07 | evals=1.0e+05
DE           | t=  37.2 | ey=1.3e-06 | evals=1.0e+05
DE           | t=  39.6 | ey=6.2e-05 | evals=1.0e+05
DE           | t=  40.7 | ey=4.4e-04 | evals=1.0e+05
DE           | t=  40.0 | ey=9.7e-05 | evals=1.0e+05
DE           | t=  40.3 | ey=5.0e-09 | evals=1.0e+05
DE           | t=  39.5 | ey=5.4e-06 | evals=1.0e+05
DE           | t=  39.9 | ey=1.2e-05 | evals=1.0e+05
DE           | t=  39.9 | ey=6.6e-06 | evals=1.0e+05
NB           | t=  44.6 | ey=1.5e-01 | evals=1.0e+05
NB           | t=  44.9 | ey=1.3e-01 | evals=1.0e+05
NB           | t=  43.3 | ey=1.1e-01 | evals=1.0e+05
NB           | t=  45.6 | ey=1.2e-01 | evals=1.0e+05
NB           | t=  47.3 | ey=1.4e-01 | evals=1.0e+05
NB           | t=  46.6 | ey=1.2e-01 | evals=1.0e+05
NB           | t=  47.2 | ey=1.0e-01 | evals=1.0e+05
NB           | t=  47.5 | ey=1.1e-01 | evals=1.0e+05
NB           | t=  46.0 | ey=1.4e-01 | evals=1.0e+05
NB           | t=  46.0 | ey=1.1e-01 | evals=1.0e+05
PSO          | t=  42.9 | ey=1.2e-01 | evals=1.0e+05
